runNum, eventNum, m1_pt, m1_eta, m1_phi, m1_m, m2_pt, m2_eta, m2_phi, m2_m, 4_vector_m1, 4_vector_m2, invariant_mass
142168,30,244.922,0.132614,2.59146,0.1,212.824,0.994446,-0.562769,0.1,[8.241662818154712e-07 -208.78502716037264 128.0452986940265 32.57537154903577],[1.0908231377877417e-06 180.002497716432 -113.54803297215629 248.29090793583742],499.66552048315646
142170,5,221.271,-0.277616,1.13625,0.1,219.611,-0.837587,-1.96307,0.1,[7.667059966976678e-07 93.15485542932768 200.70632364462526 -62.220470166150406],[1.004880378660999e-06 -83.95517078628372 -202.92984161834337 -206.21811350009276],458.1780274325493
142170,7,209.986,0.351552,1.91016,0.1,194.412,-0.845867,-1.06277,0.1,[7.441687350697527e-07 -69.9016357483941 198.00980156471758 75.35099714313097],[8.946491833892304e-07 94.57245319741396 -169.85899104911388 -184.77032671933264],477.5009356860346
142177,2,190.894,-0.704311,1.20776,0.1,188.251,0.409345,-1.99271,0.1,[8.013235387394582e-07 67.78918797306846 178.4520810468513 -145.84335984350196],[6.812862324145588e-07 -77.09011340019033 -171.74269538162545 79.22976869351407],439.30551363385285
142177,7,244.607,-0.0181387,0.214373,0.1,205.471,0.293117,-2.94297,0.1,[8.160554222933302e-07 239.00793867560742 52.036426655152624 -4.437096291538781],[7.150319561817876e-07 -201.4312931482187 -40.54338394407122 61.09318249893052],453.8003409731458
142202,7,279.391,0.15234,-1.30974,0.1,211.418,0.46739,1.80976,0.1,[9.427831313147843e-07 72.1111612823115 -269.924640037764 42.727243815013814],[7.83655378971481e-07 -50.04176858404006 205.4103018862038 102.45189412815341],492.0934093184764
142202,12,246.337,-0.412199,1.48445,0.1,187.011,0.680611,-1.44746,0.1,[8.924918560666105e-07 21.243874173713305 245.41926448241878 -104.43979800783139],[7.739480612796862e-07 23.006816753534807 -185.59041059243677 137.33869000807954],492.91615689479187
142202,18,233.488,0.864243,-1.18359,0.1,207.894,0.231849,1.87333,0.1,[1.0882541303299463e-06 88.16577888752138 -216.20231630849077 227.86543120221],[7.121815603946353e-07 -61.939889710826584 198.45242578162313 48.63300171639117],462.47532283833874
142202,19,223.56,0.721935,-2.56591,0.1,188.874,-0.420472,0.662763,0.1,[9.486340763290618e-07 -187.52679059841114 -121.70774999095029 175.7853494496782],[6.865336622495192e-07 148.8884631333236 116.21365419690125 -81.7770897017671],479.5269780132248
142202,25,251.063,-0.130736,-1.30143,0.1,233.23,-0.0607758,1.91614,0.1,[8.446231477174973e-07 66.81305311565947 -242.0095987814617 -32.91655347567927],[7.794088488274173e-07 -78.95303818517658 219.45990672860964 -14.183467646784388],483.91176300433216
142202,26,198.69,0.96297,0.0191722,0.1,186.053,-0.419463,-3.08595,0.1,[9.945427933583137e-07 198.6534845537256 3.8090910546610397 222.30503777405897],[6.760088991924809e-07 -185.76505450161636 -10.347141393230503 -80.3511494004274],480.06218805525884
144574,3,274.007,0.00270551,1.14138,0.1,254.008,0.434891,-2.01741,0.1,[9.139923763003068e-07 114.08012712587811 249.12960611686339 0.7413295829646755],[9.286734041171596e-07 -109.70957012988578 -229.09359285216965 113.98093927447833],539.9843837844234
144574,4,237.909,-0.0932704,-1.3529,0.1,244.097,-0.220984,1.80031,0.1,[7.970333938572557e-07 51.43025699927883 -232.28349262482715 -22.222054559611575],[8.341818319689966e-07 -55.53303816069436 237.69608133421735 -54.381634151410054],482.94119332998577
144574,8,248.478,0.166114,0.22828,0.1,222.726,-0.822861,-2.91081,0.1,[8.402951350513219e-07 242.03175410685603 56.231187858326294 41.46576243631027],[1.0089706587127031e-06 -216.82101465219606 -50.94623323850531 -204.66644698095445],529.2040063083494
144574,10,288.547,-0.314912,-1.11492,0.1,233.143,-0.0390521,2.01993,0.1,[1.0106097734828235e-06 127.03261914455183 -259.07930230389934 -92.37624955068425],[7.782744932023102e-07 -101.22726095713453 210.02071347397188 -9.107038144992332],523.6790499141051
144574,11,264.665,0.164256,0.680282,0.1,218.63,-0.221391,-2.43669,0.1,[8.947636316595653e-07 205.74934512535665 166.47753363588396 43.66856111403891],[7.472166139622405e-07 -166.5249247767398 -141.66342621898266 -48.79908604246098],490.0333538794917
144574,14,209.998,0.0111768,-2.69252,0.1,204.56,0.837579,0.559038,0.1,[7.00521760657506e-07 -189.17671485669405 -91.16649911030402 2.347154513780515],[9.360059664978124e-07 173.41895568595126 108.49266983899915 192.08274767775427],449.83907036951433
144574,16,241.708,0.0759794,-2.74038,0.1,249.11,0.49026,0.441688,0.1,[8.085794828777037e-07 -222.5135054159001 -94.39542982331399 18.38250354196936],[9.328182518062819e-07 225.20325925657346 106.48607477138297 127.08017143767285],501.23013698797394
144575,2,267.618,-0.0736776,3.07429,0.1,223.155,-0.240291,-0.0309199,0.1,[8.951016190841513e-07 -267.01212119370257 17.997807078626895 -19.735295798313334],[7.659583581941314e-07 223.04833592113346 -6.898830901914073 -54.13965150896825],490.3711366382049
144575,5,293.894,-0.392656,2.024,0.1,211.911,0.502208,-1.13759,0.1,[1.056873515971692e-06 -128.68091048463634 264.2251057580354 -118.3875377918059],[7.978878832516179e-07 88.9566556245626 -192.3356060148328 110.95371250061164],549.8936006586181
144575,8,247.761,-0.440567,0.22667,0.1,233.13,-0.260914,-2.88283,0.1,[9.079534209605861e-07 241.42331334006275 55.68030977738788 -112.72091063168442],[8.042578322486249e-07 -225.36848123405608 -59.65437591874475 -61.51937670341955],482.5472982523279
144575,10,251.455,0.462418,0.954126,0.1,225.137,0.355112,-2.10496,0.1,[9.300496341405331e-07 145.4219573458134 205.13915117966252 120.46578712795345],[7.988267094991273e-07 -114.62206361977722 -193.7742276479092 81.63979573428227],476.1456360549203
144575,12,310.482,-0.127393,0.433131,0.1,235.811,0.101297,-2.39604,0.1,[1.0440717212035402e-06 281.81087315521 130.31386762543025 -39.66030502115963],[7.906199361360267e-07 -173.25343237765 -159.9689841511881 23.92781881847568],538.1614437100754
144575,13,241.145,0.118682,0.428551,0.1,220.126,-0.0512205,-2.75304,0.1,[8.10044824198518e-07 219.3379781686596 100.20859423165568 28.686804655633953],[7.352247682667873e-07 -203.7174459073362 -83.39459280427924 -11.279894482116715],462.3637878949782
144576,2,258.284,0.104821,-2.21659,0.1,193.686,-0.627546,0.932448,0.1,[8.662801623213569e-07 -155.44369849974638 -206.2713776865805 27.123192652998807],[7.775122404307448e-07 115.41164337272096 155.54555335980479 -129.68325401916536],477.65491043409025
144576,7,255.0,-0.281254,-1.15874,0.1,203.506,0.200491,2.02687,0.1,[8.84453255734537e-07 102.12606792560757 -233.65629940160866 -72.66906809333723],[6.925119912820879e-07 -89.62943512937076 182.70538140511877 41.07501602137748],468.77908929378447
144576,8,255.921,-0.307463,1.90301,0.1,178.186,0.928513,-1.15163,0.1,[8.943292596963821e-07 -83.46516931480696 241.92793090557072 -79.93185905225923],[8.695208850296516e-07 72.52154050385172 -162.76018173665264 190.2672170528532],510.9369711661221
